trial,block,type,direction,stimulus,response,accuracy,rt,participant
1,practice,incongruent,left,>><>>,left,1,1091.0,1
2,practice,incongruent,left,>><>>,left,1,487.0,1
3,practice,congruent,right,>>>>>,right,1,635.0,1
4,practice,incongruent,right,<<><<,right,1,579.0,1
1,main,congruent,left,<<<<<,left,1,441.0,1
2,main,incongruent,right,<<><<,left,0,393.0,1
3,main,congruent,left,<<<<<,left,1,426.0,1
4,main,incongruent,right,<<><<,right,1,377.0,1
5,main,congruent,left,<<<<<,left,1,362.0,1
6,main,congruent,right,>>>>>,right,1,314.0,1
7,main,congruent,right,>>>>>,right,1,377.0,1
8,main,incongruent,right,<<><<,left,0,396.0,1
9,main,congruent,right,>>>>>,right,1,442.0,1
10,main,incongruent,left,>><>>,left,1,499.0,1
11,main,congruent,left,<<<<<,left,1,408.0,1
12,main,congruent,right,>>>>>,right,1,378.0,1
13,main,congruent,right,>>>>>,right,1,515.0,1
14,main,congruent,left,<<<<<,left,1,444.0,1
15,main,incongruent,left,>><>>,left,1,651.0,1
16,main,incongruent,left,>><>>,right,0,397.0,1
17,main,congruent,left,<<<<<,left,1,429.0,1
18,main,incongruent,left,>><>>,left,1,492.0,1
19,main,incongruent,left,>><>>,left,1,599.0,1
20,main,incongruent,right,<<><<,right,1,600.0,1
1,practice,congruent,left,<<<<<,left,1,565.0,2
2,practice,incongruent,left,>><>>,left,1,777.0,2
3,practice,incongruent,right,<<><<,right,1,612.0,2
4,practice,incongruent,left,>><>>,left,1,549.0,2
1,main,congruent,left,<<<<<,left,1,393.0,2
2,main,congruent,left,<<<<<,left,1,376.0,2
3,main,incongruent,right,<<><<,right,1,498.0,2
4,main,incongruent,right,<<><<,right,1,529.0,2
5,main,incongruent,left,>><>>,right,0,429.0,2
6,main,congruent,right,>>>>>,right,1,429.0,2
7,main,congruent,right,>>>>>,right,1,445.0,2
8,main,incongruent,right,<<><<,left,0,345.0,2
9,main,congruent,right,>>>>>,right,1,497.0,2
10,main,congruent,right,>>>>>,right,1,378.0,2
11,main,congruent,left,<<<<<,left,1,429.0,2
12,main,incongruent,right,<<><<,right,1,600.0,2
13,main,incongruent,right,<<><<,right,1,479.0,2
14,main,incongruent,right,<<><<,right,1,648.0,2
15,main,congruent,right,>>>>>,right,1,344.0,2
16,main,incongruent,right,<<><<,right,1,413.0,2
17,main,incongruent,left,>><>>,left,1,560.0,2
18,main,congruent,left,<<<<<,left,1,412.0,2
19,main,incongruent,left,>><>>,left,1,585.0,2
20,main,congruent,left,<<<<<,left,1,378.0,2
1,practice,incongruent,left,>><>>,no_response,0,,3
2,practice,congruent,right,>>>>>,no_response,0,,3
3,practice,congruent,right,>>>>>,right,1,1693.0,3
4,practice,incongruent,left,>><>>,left,1,581.0,3
1,main,congruent,left,<<<<<,left,1,481.0,3
2,main,congruent,left,<<<<<,left,1,368.0,3
3,main,congruent,left,<<<<<,left,1,379.0,3
4,main,incongruent,right,<<><<,right,1,445.0,3
5,main,congruent,left,<<<<<,left,1,430.0,3
6,main,incongruent,right,<<><<,right,1,617.0,3
7,main,incongruent,left,>><>>,left,1,411.0,3
8,main,incongruent,right,<<><<,right,1,414.0,3
9,main,incongruent,right,<<><<,right,1,411.0,3
10,main,congruent,left,<<<<<,left,1,377.0,3
11,main,congruent,left,<<<<<,left,1,375.0,3
12,main,congruent,left,<<<<<,left,1,328.0,3
13,main,congruent,right,>>>>>,right,1,364.0,3
14,main,incongruent,right,<<><<,left,0,380.0,3
15,main,congruent,right,>>>>>,right,1,395.0,3
16,main,incongruent,left,>><>>,left,1,414.0,3
17,main,congruent,right,>>>>>,right,1,378.0,3
18,main,congruent,right,>>>>>,right,1,394.0,3
19,main,incongruent,left,>><>>,left,1,408.0,3
20,main,incongruent,left,>><>>,left,1,482.0,3
1,practice,incongruent,right,<<><<,right,1,1178.0,4
2,practice,incongruent,left,>><>>,left,1,618.0,4
3,practice,congruent,left,<<<<<,left,1,521.0,4
4,practice,congruent,left,<<<<<,left,1,396.0,4
1,main,incongruent,left,>><>>,left,1,718.0,4
2,main,incongruent,left,>><>>,left,1,497.0,4
3,main,congruent,right,>>>>>,right,1,326.0,4
4,main,congruent,right,>>>>>,right,1,361.0,4
5,main,congruent,left,<<<<<,left,1,375.0,4
6,main,congruent,right,>>>>>,right,1,390.0,4
